period,number,category,colour,timestamp,patternUsed
20260612100010708,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010709,2,SMALL,RED,1781801476,daily_1k_history
20260612100010710,2,SMALL,RED,1781801476,daily_1k_history
20260612100010711,8,BIG,RED,1781801476,daily_1k_history
20260612100010712,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010713,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010714,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010715,2,SMALL,RED,1781801476,daily_1k_history
20260612100010716,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010717,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010718,6,BIG,RED,1781801476,daily_1k_history
20260612100010719,8,BIG,RED,1781801476,daily_1k_history
20260612100010720,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010721,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010722,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010723,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010724,2,SMALL,RED,1781801476,daily_1k_history
20260612100010725,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010726,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010727,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010728,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010729,4,SMALL,RED,1781801476,daily_1k_history
20260612100010730,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010731,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010732,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010733,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010734,2,SMALL,RED,1781801476,daily_1k_history
20260612100010735,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010736,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010737,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010738,6,BIG,RED,1781801476,daily_1k_history
20260612100010739,8,BIG,RED,1781801476,daily_1k_history
20260612100010740,6,BIG,RED,1781801476,daily_1k_history
20260612100010741,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010742,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010743,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010744,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010745,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010746,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010747,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010748,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010749,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010750,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010751,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010752,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010753,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010754,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010755,4,SMALL,RED,1781801476,daily_1k_history
20260612100010756,4,SMALL,RED,1781801476,daily_1k_history
20260612100010757,4,SMALL,RED,1781801476,daily_1k_history
20260612100010758,2,SMALL,RED,1781801476,daily_1k_history
20260612100010759,4,SMALL,RED,1781801476,daily_1k_history
20260612100010760,2,SMALL,RED,1781801476,daily_1k_history
20260612100010761,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010762,6,BIG,RED,1781801476,daily_1k_history
20260612100010763,8,BIG,RED,1781801476,daily_1k_history
20260612100010764,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010765,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010766,6,BIG,RED,1781801476,daily_1k_history
20260612100010767,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010768,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010769,8,BIG,RED,1781801476,daily_1k_history
20260612100010770,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010771,2,SMALL,RED,1781801476,daily_1k_history
20260612100010772,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010773,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010774,4,SMALL,RED,1781801476,daily_1k_history
20260612100010775,6,BIG,RED,1781801476,daily_1k_history
20260612100010776,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010777,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010778,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010779,2,SMALL,RED,1781801476,daily_1k_history
20260612100010780,8,BIG,RED,1781801476,daily_1k_history
20260612100010781,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010782,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010783,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010784,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010785,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010786,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010787,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010788,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010789,4,SMALL,RED,1781801476,daily_1k_history
20260612100010790,6,BIG,RED,1781801476,daily_1k_history
20260612100010791,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010792,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010793,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010794,8,BIG,RED,1781801476,daily_1k_history
20260612100010795,6,BIG,RED,1781801476,daily_1k_history
20260612100010796,4,SMALL,RED,1781801476,daily_1k_history
20260612100010797,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010798,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010799,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010800,4,SMALL,RED,1781801476,daily_1k_history
20260612100010801,8,BIG,RED,1781801476,daily_1k_history
20260612100010802,4,SMALL,RED,1781801476,daily_1k_history
20260612100010803,6,BIG,RED,1781801476,daily_1k_history
20260612100010804,6,BIG,RED,1781801476,daily_1k_history
20260612100010805,8,BIG,RED,1781801476,daily_1k_history
20260612100010806,6,BIG,RED,1781801476,daily_1k_history
20260612100010807,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010808,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010809,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010810,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010811,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010812,4,SMALL,RED,1781801476,daily_1k_history
20260612100010813,8,BIG,RED,1781801476,daily_1k_history
20260612100010814,4,SMALL,RED,1781801476,daily_1k_history
20260612100010815,8,BIG,RED,1781801476,daily_1k_history
20260612100010816,6,BIG,RED,1781801476,daily_1k_history
20260612100010817,2,SMALL,RED,1781801476,daily_1k_history
20260612100010818,4,SMALL,RED,1781801476,daily_1k_history
20260612100010819,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010820,8,BIG,RED,1781801476,daily_1k_history
20260612100010821,8,BIG,RED,1781801476,daily_1k_history
20260612100010822,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010823,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010824,6,BIG,RED,1781801476,daily_1k_history
20260612100010825,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010826,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010827,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010828,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010829,6,BIG,RED,1781801476,daily_1k_history
20260612100010830,4,SMALL,RED,1781801476,daily_1k_history
20260612100010831,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010832,8,BIG,RED,1781801476,daily_1k_history
20260612100010833,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010834,2,SMALL,RED,1781801476,daily_1k_history
20260612100010835,4,SMALL,RED,1781801476,daily_1k_history
20260612100010836,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010837,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010838,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010839,2,SMALL,RED,1781801476,daily_1k_history
20260612100010840,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010841,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010842,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010843,8,BIG,RED,1781801476,daily_1k_history
20260612100010844,4,SMALL,RED,1781801476,daily_1k_history
20260612100010845,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010846,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010847,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010848,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010849,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010850,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010851,8,BIG,RED,1781801476,daily_1k_history
20260612100010852,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010853,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010854,2,SMALL,RED,1781801476,daily_1k_history
20260612100010855,6,BIG,RED,1781801476,daily_1k_history
20260612100010856,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010857,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010858,8,BIG,RED,1781801476,daily_1k_history
20260612100010859,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010860,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010861,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010862,8,BIG,RED,1781801476,daily_1k_history
20260612100010863,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010864,6,BIG,RED,1781801476,daily_1k_history
20260612100010865,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010866,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010867,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010868,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010869,8,BIG,RED,1781801476,daily_1k_history
20260612100010870,8,BIG,RED,1781801476,daily_1k_history
20260612100010871,8,BIG,RED,1781801476,daily_1k_history
20260612100010872,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010873,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010874,2,SMALL,RED,1781801476,daily_1k_history
20260612100010875,8,BIG,RED,1781801476,daily_1k_history
20260612100010876,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010877,8,BIG,RED,1781801476,daily_1k_history
20260612100010878,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010879,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010880,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010881,4,SMALL,RED,1781801476,daily_1k_history
20260612100010882,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010883,6,BIG,RED,1781801476,daily_1k_history
20260612100010884,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010885,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010886,2,SMALL,RED,1781801476,daily_1k_history
20260612100010887,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010888,4,SMALL,RED,1781801476,daily_1k_history
20260612100010889,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010890,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010891,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010892,8,BIG,RED,1781801476,daily_1k_history
20260612100010893,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010894,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010895,6,BIG,RED,1781801476,daily_1k_history
20260612100010896,6,BIG,RED,1781801476,daily_1k_history
20260612100010897,8,BIG,RED,1781801476,daily_1k_history
20260612100010898,2,SMALL,RED,1781801476,daily_1k_history
20260612100010899,4,SMALL,RED,1781801476,daily_1k_history
20260612100010900,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010901,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010902,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010903,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010904,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010905,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010906,2,SMALL,RED,1781801476,daily_1k_history
20260612100010907,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010908,8,BIG,RED,1781801476,daily_1k_history
20260612100010909,6,BIG,RED,1781801476,daily_1k_history
20260612100010910,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010911,8,BIG,RED,1781801476,daily_1k_history
20260612100010912,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010913,8,BIG,RED,1781801476,daily_1k_history
20260612100010914,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010915,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010916,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010917,2,SMALL,RED,1781801476,daily_1k_history
20260612100010918,8,BIG,RED,1781801476,daily_1k_history
20260612100010919,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010920,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010921,6,BIG,RED,1781801476,daily_1k_history
20260612100010922,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010923,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010924,6,BIG,RED,1781801476,daily_1k_history
20260612100010925,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010926,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010927,4,SMALL,RED,1781801476,daily_1k_history
20260612100010928,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010929,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010930,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010931,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010932,9,BIG,GREEN,1781801476,daily_1k_history
20260612100010933,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010934,8,BIG,RED,1781801476,daily_1k_history
20260612100010935,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010936,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010937,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010938,2,SMALL,RED,1781801476,daily_1k_history
20260612100010939,4,SMALL,RED,1781801476,daily_1k_history
20260612100010940,6,BIG,RED,1781801476,daily_1k_history
20260612100010941,2,SMALL,RED,1781801476,daily_1k_history
20260612100010942,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010943,8,BIG,RED,1781801476,daily_1k_history
20260612100010944,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010945,6,BIG,RED,1781801476,daily_1k_history
20260612100010946,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010947,6,BIG,RED,1781801476,daily_1k_history
20260612100010948,2,SMALL,RED,1781801476,daily_1k_history
20260612100010949,8,BIG,RED,1781801476,daily_1k_history
20260612100010950,2,SMALL,RED,1781801476,daily_1k_history
20260612100010951,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010952,8,BIG,RED,1781801476,daily_1k_history
20260612100010953,6,BIG,RED,1781801476,daily_1k_history
20260612100010954,6,BIG,RED,1781801476,daily_1k_history
20260612100010955,2,SMALL,RED,1781801476,daily_1k_history
20260612100010956,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010957,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010958,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010959,4,SMALL,RED,1781801476,daily_1k_history
20260612100010960,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010961,4,SMALL,RED,1781801476,daily_1k_history
20260612100010962,8,BIG,RED,1781801476,daily_1k_history
20260612100010963,8,BIG,RED,1781801476,daily_1k_history
20260612100010964,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010965,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010966,2,SMALL,RED,1781801476,daily_1k_history
20260612100010967,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010968,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010969,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010970,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010971,6,BIG,RED,1781801476,daily_1k_history
20260612100010972,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010973,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010974,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010975,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010976,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010977,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010978,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010979,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010980,4,SMALL,RED,1781801476,daily_1k_history
20260612100010981,8,BIG,RED,1781801476,daily_1k_history
20260612100010982,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010983,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010984,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010985,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010986,8,BIG,RED,1781801476,daily_1k_history
20260612100010987,4,SMALL,RED,1781801476,daily_1k_history
20260612100010988,6,BIG,RED,1781801476,daily_1k_history
20260612100010989,1,SMALL,GREEN,1781801476,daily_1k_history
20260612100010990,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010991,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010992,6,BIG,RED,1781801476,daily_1k_history
20260612100010993,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010994,7,BIG,GREEN,1781801476,daily_1k_history
20260612100010995,3,SMALL,GREEN,1781801476,daily_1k_history
20260612100010996,0,SMALL,"RED,VIOLET",1781801476,daily_1k_history
20260612100010997,5,BIG,"GREEN,VIOLET",1781801476,daily_1k_history
20260612100010998,6,BIG,RED,1781801476,daily_1k_history
20260612100010999,1,SMALL,GREEN,1781801476,daily_1k_history
